cpc1,cpc2,cpc3,  tech area
pat0000,H02M,Y02B,H02J,Solar Inverter
pat0001,Y02E,H02J,,Solar Inverter
pat0002,Y02B,H01L,Y02E,Solar Mounting/Rack
pat0003,F24J,Y02E,H01L,Solar Mounting/Rack
pat0004,H02M,Y02E,Y02B,Solar Inverter
pat0005,H02J,Y02B,,Solar Inverter
pat0006,Y04S,G01D,G06Q,Solar Monitoring
pat0007,F24J,Y02E,E06B,Solar Mounting/Rack
pat0008,Y02E,H01L,,Solar Inverter
pat0009,F01K,,,Solar Monitoring
pat0010,Y02E,H02M,Y02E,Solar Inverter
pat0011,E04D,F24J,Y02E,Solar Mounting/Rack
pat0012,F24J,Y02E,H01L,Solar Mounting/Rack
pat0013,Y02E,G05F,,Solar Inverter
pat0014,H01L,Y02E,G08B,Solar Inverter
pat0015,G08B,,,Solar Monitoring
pat0016,H02J,,,Solar Inverter
pat0017,G01D,H05B,G08C,Solar Monitoring
pat0018,Y02E,G05F,,Solar Inverter
pat0019,,,,Solar Mounting/Rack
pat0020,H02J,Y02E,G06Q,Solar Monitoring
pat0021,F24J,Y02E,H01L,Solar Mounting/Rack
pat0022,G01W,Y02B,,Site Assessment
pat0023,F24J,H01L,Y02E,Solar Mounting/Rack
pat0024,Y04S,G01D,H04Q,Solar Monitoring
pat0025,H02M,Y02E,Y02B,Solar Inverter
pat0026,G01R,,,Solar Monitoring
pat0027,G01D,H04Q,Y04S,Solar Monitoring
pat0028,H01R,,,Solar Inverter
pat0029,H02J,,,Solar Inverter
pat0030,H01L,Y02E,Y02B,Solar Mounting/Rack
pat0031,H02M,H02J,,Solar Inverter
pat0032,H02M,Y02B,G05F,Solar Monitoring
pat0033,H05K,,,Solar Inverter
pat0034,F24J,Y02E,H01L,Solar Mounting/Rack
pat0035,Y02E,H02M,H02J,Solar Inverter
pat0036,H02M,,,Solar Inverter
pat0037,H02J,,,Solar Inverter
pat0038,H02M,H02J,,Solar Inverter
pat0039,F24J,Y02E,H01L,Solar Mounting/Rack
pat0040,F24J,Y02E,H01R,Solar Mounting/Rack
pat0041,F24J,Y02E,H01L,Solar Mounting/Rack
pat0042,Y02E,H02J,Y02E,Solar Inverter
pat0043,Y02E,G05F,,Solar Inverter
pat0044,F24J,Y02E,H01L,Solar Mounting/Rack
pat0045,H02M,Y02E,Y02B,Solar Inverter
pat0046,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0047,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0048,H04Q,,,Solar Monitoring
pat0049,F24J,G06F,Y02E,Site Assessment
pat0050,H02M,H02J,,Solar Inverter
pat0051,G01W,,,Site Assessment
pat0052,G06Q,Y04S,,Solar Monitoring
pat0053,F24J,Y02E,H01L,Solar Mounting/Rack
pat0054,F24J,Y02B,Y02E,Solar Mounting/Rack
pat0055,Y02E,G05F,,Solar Inverter
pat0056,F24J,Y02E,H01L,Solar Mounting/Rack
pat0057,E04F,H01L,Y02E,Solar Mounting/Rack
pat0058,F24J,Y02E,H01L,Solar Mounting/Rack
pat0059,F24J,Y02E,H01L,Solar Mounting/Rack
pat0060,Y02E,Y02B,H02M,Solar Inverter
pat0061,G01R,,,Solar Monitoring
pat0062,G05F,,,Solar Mounting/Rack
pat0063,F24J,Y02E,H01L,Solar Mounting/Rack
pat0064,G01R,,,Solar Monitoring
pat0065,H01R,H01L,,Solar Mounting/Rack
pat0066,H01R,H01L,H01R,Solar Mounting/Rack
pat0069,Y02E,H05K,H02M,Solar Inverter
pat0070,H02M,H02J,Y02B,Solar Inverter
pat0071,H01L,E04D,Y02E,Solar Mounting/Rack
pat0072,G01J,G01C,G01W,Site Assessment
pat0073,F24J,Y02E,G01S,Solar Mounting/Rack
pat0074,Y02E,F24J,Y02E,Solar Mounting/Rack
pat0076,G01D,G06Q,H04W,Solar Monitoring
pat0077,Y02E,Y02B,H02M,Solar Inverter
pat0078,C09K,G06F,,Solar Monitoring
pat0079,H02M,H02J,,Solar Inverter
pat0080,H02H,,,Solar Inverter
pat0081,Y04S,H02J,Y04S,Solar Monitoring
pat0082,F24J,Y02E,H01L,Solar Mounting/Rack
pat0083,F24J,Y02E,H01L,Solar Mounting/Rack
pat0084,H02J,G01D,Y02B,Solar Monitoring
pat0085,H02J,Y02E,,Solar Inverter
pat0086,F24J,Y02E,H01L,Solar Mounting/Rack
pat0087,H02M,,,Solar Inverter
pat0088,H02J,G05F,,Solar Inverter
pat0089,H02H,,,Solar Inverter
pat0090,Y02E,H01L,,Solar Inverter
pat0091,F24J,Y02E,H01L,Solar Mounting/Rack
pat0092,G06Q,Y04S,Y02E,Solar Monitoring
pat0093,B64G,H02J,,Solar Monitoring
pat0094,H01M,Y02E,H01L,Solar Monitoring
pat0095,F24J,H01Q,Y02E,Solar Mounting/Rack
pat0096,F24J,Y02E,H01L,Solar Mounting/Rack
pat0097,F24J,Y02E,H01L,Solar Mounting/Rack
pat0098,F24J,Y02B,Y02E,Solar Mounting/Rack
pat0099,Y02E,H01L,,Solar Inverter
pat0100,H02J,,,Solar Monitoring
pat0101,H01L,Y02E,,Solar Mounting/Rack
pat0102,G01R,H01L,,Solar Monitoring
pat0103,H02M,,,Solar Inverter
pat0105,H02J,,,Solar Inverter
pat0106,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0107,H02J,Y02B,,Solar Monitoring
pat0109,F24J,Y02E,H01L,Solar Mounting/Rack
pat0110,Y02E,H01L,,Solar Mounting/Rack
pat0111,Y02E,H01R,H01L,Solar Inverter
pat0112,F24J,Y02E,H01L,Solar Mounting/Rack
pat0113,G06F,F24J,Y02B,Site Assessment
pat0114,Y02E,Y02B,Y02E,Solar Monitoring
pat0115,,,,Solar Monitoring
pat0116,Y02E,Y02B,H02M,Solar Inverter
pat0117,H02M,Y02E,,Solar Inverter
pat0118,G01R,,,Solar Monitoring
pat0119,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0120,H01L,Y02B,Y02E,Solar Mounting/Rack
pat0121,H02M,,,Solar Monitoring
pat0122,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0123,Y02E,H02J,,Solar Inverter
pat0124,F24J,Y02E,H01L,Solar Mounting/Rack
pat0125,E04D,H01L,E04D,Solar Mounting/Rack
pat0126,G01J,G01C,G01W,Site Assessment
pat0127,F24J,Y02E,H01L,Solar Mounting/Rack
pat0128,F24J,Y02E,H01L,Solar Mounting/Rack
pat0131,H02J,,,Solar Monitoring
pat0132,G01J,G01S,G01W,Site Assessment
pat0133,Y02E,H01L,,Solar Inverter
pat0134,Y02E,H01L,H02M,Solar Inverter
pat0135,H01L,Y02E,H02J,Solar Mounting/Rack
pat0136,F24J,Y02B,Y02E,Solar Mounting/Rack
pat0137,Y02E,H02J,,Solar Monitoring
pat0138,Y02E,H01L,H02J,Solar Inverter
pat0139,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0140,H02J,,,Solar Monitoring
pat0141,Y02E,H02J,Y02E,Solar Inverter
pat0142,H02M,H02J,,Solar Inverter
pat0143,F24J,Y02E,H01L,Solar Mounting/Rack
pat0144,H02J,Y02E,,Solar Inverter
pat0145,G05B,Y02E,G06F,Solar Mounting/Rack
pat0146,G05B,H02J,G05B,Solar Monitoring
pat0147,G05F,,,Solar Inverter
pat0148,Y02E,F24J,Y02B,Solar Mounting/Rack
pat0149,H02H,,,Solar Inverter
pat0150,G06Q,,,Solar Monitoring
pat0151,H02M,H02J,,Solar Inverter
pat0152,Y02B,H02M,Y02B,Solar Inverter
pat0153,H02M,,,Solar Inverter
pat0154,H01R,H01L,,Solar Mounting/Rack
pat0155,H01R,H01L,,Solar Mounting/Rack
pat0156,Y02B,G05F,,Solar Inverter
pat0157,H02M,H02J,,Solar Inverter
pat0158,Y02E,H02M,,Solar Inverter
pat0159,Y02E,G05F,,Solar Inverter
pat0160,G06Q,Y04S,Y02E,Solar Monitoring
pat0161,H02M,H02J,,Solar Monitoring
pat0162,Y02E,H02J,,Solar Inverter
pat0163,H01L,Y02E,H02J,Solar Inverter
pat0165,F16M,,,Solar Mounting/Rack
pat0166,Y02E,Y02B,Y02E,Solar Inverter
pat0167,G05F,,,Solar Inverter
pat0168,F24J,Y02E,H01L,Solar Mounting/Rack
pat0169,H02J,Y02E,,Solar Inverter
pat0170,H02J,,,Solar Monitoring
pat0171,Y02E,Y02B,H02M,Solar Inverter
