id,number,issue,filing,title,us,ipc,inv_location,link,inventors,assignee,asignee_location,tech areas,references
US20110000153A1,0110000153,20110106,20090302,Photovoltaic Roofing Tile with Fire Suppression,"","E04D13/18, H01L31/04, E04C2/20, E04B1/94", Philadelphia PA US ,N/A,Albert Jonathan D.,"","",Solar Mounting/Rack,""
US20110036386A1,0110036386,20110217,20090817,SOLAR PANEL WITH INVERTER,"",H01L31/042, Roanoke TX US ,N/A,Browder John H.,"","",Solar Inverter,""
US20120274264A1,0120274264,20121101,20120425,PHOTOVOLTAIC MODULE,"","H02J7/00, H01L31/05", Seoul KR  Seoul KR ,N/A,"Mun Hyunrok, Kim Myonghwan","","",Solar Inverter,""
US20120192422A1,0120192422,20120802,20101007,METHOD FOR EMBEDDING A SOLAR STRUCTURE,"",H01L31/18, Bordeaux FR  Cambes FR ,N/A,"Lucas Adrien, Morane Frédéric","","",Solar Mounting/Rack,""
US20120024563A1,0120024563,20120202,20100729,INTEGRAL AC MODULE GROUNDING SYSTEM,"",H05K5/02, Niskayuna NY US  Schenectady NY US ,N/A,"Korman Charles Steven, Johnson Neil Anthony","","",Solar Inverter,""
US20100301676A1,0100301676,20101202,20090528,SOLAR POWER GENERATION SYSTEM INCLUDING WEATHERABLE UNITS INCLUDING PHOTOVOLTAIC MODULES AND ISOLATED POWER CONVERTERS,"",H02J3/00, Munich DE  Sparks NV US  Muenchen DE  Unterfoehring DE ,N/A,"Hernandez Yaru Najem Mendez, de Rooij Michael Andrew, Mayer Oliver, Roesner Robert","","",Solar Inverter,""
US20130086219A1,0130086219,20130404,20120928,COMMUNICATION WITH DISTRIBUTED DEVICES HANDLING ELECTRIC ENERGY VIA THE INTERNET,"",G06F15/16, Niesteal DE ,N/A,SMA Solar Technology AG ,"","",Solar Monitoring,""
US20120039101A1,0120039101,20120216,20111014,Method of and Apparatus for Connecting a Photovoltaic Device to an AC Power Grid,"",H02M7/44, Kassel DE  Kassel DE  Lohfelden DE  Hessisch Lichtenau DE  Staufenberg DE  Kaufungen DE ,N/A,"Falk Andreas, Laschinski Joachim, Arend Oliver, Simon Peter, Reichenbaecher Wolfgang, Greizer Frank","","",Solar Inverter,""
US20110240101A1,0110240101,20111006,20091202,STRUCTURE INSTALLATION STAND AND SOLAR CELL SYSTEM,"","H01L31/048, F16M11/04", Osaka JP  Osaka JP ,N/A,"Sagayama Kenichi, Ohkoshi Yasushi","","",Solar Mounting/Rack,""
US20100071310A1,0100071310,20100325,20090922,Method of Assembling Building Integrated Photovoltaic Conversion System,"","E04B1/34, E04B2/88", Alameda CA US  Alameda CA US ,N/A,"Brescia Joe, Tofflemire Mark","","",Solar Mounting/Rack,""
US20080041434A1,0080041434,20080221,20060818,METHODS AND DEVICES FOR LARGE-SCALE SOLAR INSTALLATIONS,"","H01L31/042, B23K3/00", Palo Alto CA US  San Francisco CA US ,N/A,"Adriani Paul, Roscheisen Martin","","",Solar Mounting/Rack,""
US20100218441A1,0100218441,20100902,20091127,Wind Uplift Resistant Module Mounting System,"",E04D13/18, Los Alto Hills CA US  San Francisco CA US ,N/A,"Stancel Robert, Roscheisen Martin R.","","",Solar Mounting/Rack,""
US20060225780A1,0060225780,20061012,20060407,Rooftop photovoltaic module,"",H02N6/00, Memphis TN US  Bartlett TN US  Albuquerque NM US ,N/A,"Johnson Bertrand, Boswell Kenneth, Umemoto Akimasa","","",Solar Mounting/Rack,""
US20110036342A1,0110036342,20110217,20101028,SOLAR COLLECTOR MOUNTING ARRAY,"","F24J2/46, F24J2/52", Pasadena CA US  Monrovia CA US ,N/A,"Allen Nathan, Luconi Gregg F.","","",Solar Mounting/Rack,""
US20100071274A1,0100071274,20100325,20090922,Unitized Curtain Wall Module Adapted for Integrated Photovoltaic Conversion Module,"","E04B2/88, E04C2/00", Alameda CA US ,N/A,Brescia Joe,"","",Solar Mounting/Rack,""
US20110308574A1,0110308574,20111222,20110824,SOLAR POWERED ELECTRICAL GENERATION DEVICE AND RELATED METHODS,"",H01L31/052, Eagan MN US ,N/A,Vaidyanathan Chandramouli,"","",Solar Mounting/Rack,""
US20120043923A1,0120043923,20120223,20110817,"System, Method, Module, And Energy Exchanger For Optimizing Output Of Series-Connected Photovoltaic And Electrochemical Devices","","H02J7/00, H02J1/00", Castro Valley CA US  St. Helena CA US ,N/A,"Ikriannikov Alexandr, Stratakos Anthony J.","","",Solar Inverter,""
US20080149163A1,0080149163,20080626,20071129,SYSTEM AND METHOD FOR MOUNTING PHOTOVOLTAIC CELLS,"","H01L31/052, H01L31/042, B29C65/00", Nevada City CA US ,N/A,Gangemi Ron,"","",Solar Mounting/Rack,""
US20100236035A1,0100236035,20100923,20090319,SYSTEM AND METHOD FOR DETECTING DEFECTS IN A SOLAR CELL AND REPAIRING AND CHARACTERIZING A SOLAR CELL,"","H01L31/18, G01R31/308, G01N27/00", San Jose CA US ,N/A,Chung Kyo Young,"","",Solar Monitoring,""
US20100206303A1,0100206303,20100819,20090219,Solar Concentrator Truss Assemblies,"",F24J2/10, Berkeley CA US ,N/A,Thorne Steve,"","",Solar Mounting/Rack,""
US20110232715A1,0110232715,20110929,20100326,MINIMALLY PENETRATING PHOTOVOLTAIC ASSEMBLY FOR USE WITH A SLOPED ROOF AND RELATED METHODS,"","H01L31/042, B32B43/00, B32B37/02", Oakland CA US  San Jose CA US  San Francisco CA US ,N/A,"Lenox Carl J.S., Rose Doug, Knuepfel Michael","","",Solar Mounting/Rack,""
US20090139562A1,0090139562,20090604,20081202,Portable photovoltaic window system,"",H01L31/042, Hampton VA US ,N/A,Thomas Donald Lee,"","",Solar Mounting/Rack,""
US20110226425A1,0110226425,20110922,20110531,MODULAR PANELS FOR PROTECTING A STRUCTURE,"","E04B1/92, E04H9/16, E04C2/38, A47G5/00", Tulsa OK US  Tulsa OK US ,N/A,"Forbis Jack R., Forbis Ann R.","","",Solar Mounting/Rack,""
US20120056638A1,0120056638,20120308,20110308,SYSTEMS AND METHODS FOR MONITORING AND DIAGNOSTICS OF PHOTOVOLTAIC SOLAR MODULES IN PHOTOVOLTAIC SYSTEMS,"",G01R31/26, Tiburon CA US ,N/A,Swahn Anders,"","",Solar Monitoring,""
US20120158205A1,0120158205,20120621,20110908,SCALABLE BACKEND MANAGEMENT SYSTEM FOR REMOTELY OPERATING ONE OR MORE PHOTOVOLTAIC GENERATION FACILITIES,"",G06F1/26, Los Gatos CA US  American Canyon CA US  Los Altos CA US ,N/A,"Hinman Brian, Vandevelde Roeland, Miller Wayne","","",Solar Monitoring,""
US20120233940A1,0120233940,20120920,20120321,MECHANICAL PHOTOVOLTAIC MODULE CARTRIDGE AND METHOD OF CONSTRUCTION,"",E04B1/19, Pittstown NJ US  Clinton NJ US  Easton PA US  Stanhope NJ US ,N/A,"Perkins John, Piekarski William, Dumm Adam, Monaco Michael","","",Solar Mounting/Rack,""
