id,number,issue,filing,title,us,ipc,inv_location,link,inventors,assignee,asignee_location,tech areas,references
7502241,7502241,20090310,20060407,Inverter startup algorithm,"363 95, 363120",H02M3/24, Bend OR US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7502241,Taylor Bill,"","",Solar Inverter,"4649334, 6101073, 6201180, 6320769, 6339538, 6493246, 6593520, 6713890, 6750391, 6803515, 6812396, 6856497, 6897370, 7126294, 7158395, 2001/0023703, 2002/0085325, 2002/0105765, 2002/0186020, 2002/0195138, 2003/0067723, 2003/0075211, 2003/0111103, 2005/0045224, 2005/0063115, 2005/0110454, 2007/0013340"
7733679,7733679,20100608,20041029,"Method for setting switching times, in particular idle times, of an inverter based on detected power, and inverter","363 98, 363 41, 323906",H02M7/5387, Kaltenberg AT  Wels AT ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7733679,"Luger Andreas, Bittmann Clemens","","",Solar Inverter,"5625539, 5719758, 5801519, 6294954, 6452816, 6597159, 2002/0001210, 2003/0012038, 0 871 285, 1 337 033, 05 244775, 08-228488, 09 047082, 10 304675"
8466399,8466399,20130618,20100706,Techniques for adjusting solar array tracking,"2502034, 136246, 136291, 136244",H01L31/042, Hillsborough NJ US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8466399,Sherman James,"","",Solar Monitoring,""
8085564,8085564,20111227,20101130,DC bus voltage control for two stage solar converter,363 97,"H02M7/537, H02M7/539", Hardy VA US  Daleville VA US  Roanoke VA US  Troutville VA US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8085564,"Klodowski Anthony Michael, Smith David, Wagoner Robert Gregory, Barker Sidney Allen","","",Solar Inverter,"4404472, 4667283, 5280228, 5329222, 5384696, 5835353, 5892675, 5917711, 6058035, 6081104, 6134124, 6229722, 6285572, 6291764, 6316918, 6339538, 6369462, 6373731, 6380719, 6411065, 6452289, 6690589, 6693809, 6765315, 6809942, 6853940, 6914418, 6940735, 6963147, 6979980, 7015597, 7072194, 7099169, 7119452, 7120039, 7145266, 7158395, 7183667, 7193872, 7239036, 7256566, 7319313, 7324361, 7333349, 7333352, 7338311, 7339287, 7348739, 7397653, 7405496, 7411802, 7414870, 7423894, 7432618, 7433215, 7443052, 7463489, 7463500, 7471073, 7479774, 7768155, 7855906, 7919953, 2006/0097578, 2006/0103341, 2007/0024059, 2007/0100506, 2007/0236187, 2007/0252716, 2007/0273338, 2008/0094867, 2008/0101101, 2008/0122293, 2008/0150366, 2008/0180979, 2008/0192510, 2008/0197825, 2008/0232145, 2008/0257397, 2008/0290252, 2008/0291706, 2008/0304302, 2009/0003024, 2009/0046491, 2009/0046492, 2009/0177333, 0947904, 1463188, 1861914, 1178596, 2419968, 2006/048689, WO 2008/015298, WO 2008/096019"
8156697,8156697,20120417,20091015,Photovoltaic module mounting system," 521733, 136244, 126623",E04D13/18, Fairfax CA US  Oakland CA US  San Rafael CA US  Novato CA US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8156697,"Miros Robert H. J., Mittan Margaret Birmingham, Seery Martin N., Holland Rodney H.","","",Solar Mounting/Rack,"5746839, 6063996, 6570084, 6809251, 6968654, 2003/0000569, 2003/0098056, 2003/0101662, 2004/0250491, 2005/0005534, 2005/0115176, 2006/0053706, 2006/0118163, 2006/0288645, 2009/0199846, 2009/0242014"
7336201,7336201,20080226,20050708,Remote access energy meter system and method,"34087002, 3408702, 34087028, 700 22, 700286",G08B23/00, 757 Harrison St. West Hempstead NY 11552 US  1186 Flower La. Wantagh NY 11793-2717 US  3656 Farm Ranch Rd. S. Bethpage NY 11714 US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7336201,"Green Ezra, Dockweiler Robert, O'Connor William","","",Solar Monitoring,"3697953, 4155252, 4400783, 4783748, RE35793, 6556956, 6650249, 6671633, 6671635, 6714000, 6718271, 6766279, 6768970, 6788214, 6845336, 6892165, 6898557, 6940421, 6954701, 6954720, 2002/0095269, 2003/0225551, 2004/0030533, 2004/0073405, 2004/0117159"
8175755,8175755,20120508,20091118,Systems and methods for monitoring power devices,"700293, 700295, 700298, 307 85, 290 44","G05D3/12, G05D5/00, G05D9/00, G05D11/00, G05D17/00, H02J1/00, H02J3/00, F03D9/00, H02P9/04", Osnabrueck DE  Steinfurt DE ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8175755,"Kirchner Andreas, Ubben Enno","","",Solar Monitoring,"4245150, 7834472, 7915762, 7930070, 2009/0160187, 2009/0206603, 2009/0304101, 2010/0114395, 2010/0145542"
8279642,8279642,20121002,20090921,Apparatus for converting direct current to alternating current using an active filter to reduce double-frequency ripple power of bus waveform,"363 39, 363 40, 363 45","H02M1/12, H02M1/14", Urbana IL US  Champaign IL US  College Station TX US  Rolla MO US  Champaign IL US  Champaign IL US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8279642,"Chapman Patrick L., Kuhn Brian T., Balog Robert S., Kimball Jonathan W., Krein Philip T., Gray Alexander","","",Solar Inverter,"3670230, 4053820, 4519022, 4651265, 5343380, 5668464, 6154379, 6330170, 6570268, 7193872, 7233130, 7339287, 7365998, 7372709, 7768800, 2006/0171182, 2007/0159866, 2008/0304296, 2009/0020151, 2009/0073726, 2009/0097283, 2009/0296348, 2010/0118568"
8137115,8137115,20120320,20110201,Junction box and conductor strip connection device thereof,"439 761, 136244, 136246",H01R25/00, Taoyuan Hsien TW  Taoyuan Hsien TW  Taoyuan Hsien TW  Taoyuan Hsien TW ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8137115,"Chou Yen-Chi, Yu Chen-Yu, Huang Chin-Chu, Huang Ren-De","","",Solar Inverter,"7530837, 7932461, 2010/0216336, 2010/0218802, 2011/0003519, 2011/0108085, 2011/0158337, 2011/0195585"
7622666,7622666,20091124,20060615,Photovoltaic concentrator modules and systems having a heat dissipating element located within a volume in which light rays converge from an optical concentrating element towards a photovoltaic receiver,"136246, 136259","H02N6/00, H01L31/042", Pasadena CA US ,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7622666,Hines Braden E.,"","",Solar Mounting/Rack,"3388739, 3957031, 4000734, 4002499, 4003638, 4022186, 4067764, 4069812, 4092531, 4107521, 4131485, 4146785, 4158356, 4168696, 4169738, 4177083, 4184482, 4187123, 4191164, 4210121, 4211212, 4215410, 4223174, 4238246, 4253880, 4256364, 4262195, 4269168, 4280853, 4287411, 4296731, 4297521, 4307711, 4320288, 4323052, 4328789, 4349733, 4354484, 4365617, 4397303, 4398053, 4410757, 4459972, 4476854, 4484334, 4495408, 4554038, 4556788, 4572161, 4575639, 4601282, 4604494, 4619244, 4622470, 4750943, 4771764, 4868379, 4945731, 4968355, 4995377, 4999483, 5255666, 5317145, 5483060, 5498297, 5665174, 5727585, 5806955, 5977475, 6020554, 6058930, 6079408, 6087646, 6089224, 6113342, 6127620, 6498290, 6531653, 6620995, 6691701, 6700054, 6717045, 6809413, 6843573, 6848442, 6870087, 6881893, 6903261, 6959993, 6963437, 6971756, 7076965, 7109461, 7156088, 7188964, 7192146, 7218998, 7403278, 7535071, 2003/0169200, 2003/0201007, 2003/0201008, 2004/0187907, 2004/0216734, 2005/0081908, 2005/0126560, 2005/0229924, 2005/0241692, 2006/0054211, 2006/0054212, 2006/0060188, 2006/0283495, 2007/0070531, 2007/0089777, 2007/0102037, 2007/0108459, 2007/0188876, 2007/0193620, 2007/0272234, 2008/0023061, 2008/0078380, 2008/0083405, 2008/0127967, 2008/0185032, 4116894, 9412438, 10150176, 0 474349, 1041628, 2291506, 2447017, 2527748, 56023666, 56058278, 58098984, 06085301, 06085304, 2002141543, 2002151711, WO 90/04142, WO 00/68628, WO 01/63665, WO 2004/114419, WO 2005/090873, WO 2005/119133, WO 2006/114457, WO 2006/120475, WO 2007/041018"
