pat_id, title, USPA#, date
pat0_100, System and apparatus for interconnecting an array of power generating assemblies, 8207637, June 26  2012, 
pat0_101, Photovoltaic ladder inverter, 8207630, June 26  2012, 
pat0_102, Building integrated thermal electric hybrid roofing system, 8201382, June 19  2012, 
pat0_103, Building integrated thermal electric hybrid roofing system, 8196369, June 12  2012, 
pat0_104, Inverter comprising normally conductive gate-controlled semiconductor switches, 8194429, June 5  2012, 
pat0_105, Open circuit voltage protection system and method, 8194375, June 5  2012, 
pat0_106, Method and device for controlling a configurable power supply to provide AC and/or DC power output, 8193788, June 5  2012, 
pat0_107, Portable cart for solar energy conversion, 8193760, June 5  2012, 
pat0_108, Single stage inverter device  and related controlling method  for converters of power from energy sources  in particular photovoltaic sources, 8189352, May 29  2012, 
pat0_109, Photovoltaic electrochromic device, 8188361, May 29  2012, 
pat0_10, Photovoltaic power plant output, 8492926, July 23  2013, 
pat0_110, Photovoltaic greenhouse structure, 8186100, May 29  2012, 
pat0_111, Solar inverter and control method, 8184460, May 22  2012, 
pat0_112, Configurable power supply assembly, 8174856, May 8  2012, 
pat0_113, Method of operating an inverter by turning off the switching around a zero transition of the output voltage, 8169805, May 1  2012, 
pat0_114, Method for measuring a current  in particular by means of a grounding apparatus, 8169226, May 1  2012, 
pat0_115, Shingle with photovoltaic element(s) and array of same laid up on a roof, 8168880, May 1  2012, 
pat0_116, AC connected modules with line frequency or voltage variation pattern for energy control, 8159178, April 17  2012, 
pat0_117, Solar inverter and plant for converting solar energy into electrical energy, 8148849, April 3  2012, 
pat0_118, Solar powered charging shelter and system and method thereof, 8143841, March 27  2012, 
pat0_119, DC/DC converter, 8138638, March 20  2012, 
pat0_11, Non-isolated DC-DC converter for solar power plant, 8488351, July 16  2013, 
pat0_120, Photovoltaic system, 8138411, March 20  2012, 
pat0_121, Energy conversion system with fault detection and interruption, 8134812, March 13  2012, 
pat0_122, Photovoltaic soundproof wall, 8118135, February 21  2012, 
pat0_123, System for controlling power from a photovoltaic array by selectively configurating connections between photovoltaic panels, 8115340, February 14  2012, 
pat0_124, Photovoltaic DC/DC micro-converter, 8106537, January 31  2012, 
pat0_125, Modular energy control system, 8103389, January 24  2012, 
pat0_126, AC power systems for renewable electrical energy, 8093756, January 10  2012, 
pat0_127, Device for protecting a photovoltaic plant against rodent bite damage, 8081065, December 20  2011, 
pat0_128, Photovoltaic ladder inverter, 8080899, December 20  2011, 
pat0_129, Power inverter control for grid-tie transition, 8068352, November 29  2011, 
pat0_12, Apparatus and method for controlling DC-AC power conversion, 8482947, July 9  2013, 
pat0_130, Systems to connect multiple direct current energy sources to an alternating current system, 8058747, November 15  2011, 
pat0_131, Solar power plant, 8053930, November 8  2011, 
pat0_132, DC power system for household appliances, 8049366, November 1  2011, 
pat0_133, Method for detecting an isolated network, 8035369, October 11  2011, 
pat0_134, Method and apparatus for improved burst mode during power conversion, 8035257, October 11  2011, 
