Top1	Top2	Top3	Top4	Top5	Top6	Top7	Top8	Top9	Top10	Top11	Top12	Top13	Top14	Top15	TA
0.0001287181	0.6632304195	0.032241881	0.0195852376	0.0034409241	0.0002952029	0.0003195463	0.0034159083	0.0001368223	0.2182716139	0.0003503041	0.0578258618	0.0002314635	0.0001792299	0.0003468666	Solar Mounting/Rack
0.0001184734	0.0002516609	0.1357961011	0.0003397166	0.0002192722	0.0002717077	0.0268242036	0.0001962475	0.0590816882	0.0063453238	0.1211817222	0.0001633058	0.0002130412	0.6486782765	0.0003192594	Solar Monitoring
6.10579040553e-05	0.0001296991	0.0411206059	0.0001750806	0.0001130069	0.0016592393	0.000151578	0.5257473214	0.0714677071	0.1248068943	0.0958763108	8.41633242374e-05	0.1383577796	8.50183871246e-05	0.0001645375	Solar Invertor
9.42915719274e-05	0.3873084687	0.000157477	0.0729997911	0.0001745162	0.000216249	0.3193050619	0.0001561911	0.0001002283	0.0848179148	0.0002566129	0.1315121416	0.0001695571	0.0024774038	0.0002540949	Solar Mounting/Rack
0.0001632189	0.0003467092	0.000272593	0.0004680222	0.0003020879	0.0003743274	0.2440724395	0.0002703671	0.0001734954	0.2970814244	0.0045053182	0.4428871436	0.0002935035	0.0002272696	0.0085620801	Solar Mounting/Rack
0.0433138498	0.0002458629	0.0001933046	0.0032117636	0.0002142204	0.2767333256	0.0002873375	0.118266549	0.0001230313	0.0004393865	0.2508640092	0.0001595434	0.000208133	0.0001611643	0.3055785191	Solar Monitoring
0.0001071071	0.181446104	0.0001788804	0.3893940912	0.0001982354	0.0002456402	0.0002658965	0.0001774197	0.0001138507	0.1896201247	0.0002914902	0.0108075553	0.0001926022	0.0001491383	0.226811864	Solar Mounting/Rack
0.0003342602	0.000710035	0.0005582505	0.0092753515	0.0006186537	0.7243348537	0.0008298108	0.0005536919	0.2415447254	0.0012689178	0.0175434368	0.0004607504	0.0006010737	0.0004654314	0.0009007572	Solar Monitoring
9.6789437424e-05	0.0002056	0.166331633	0.000277539	0.0001791393	0.0002219776	0.0532220167	0.0001603287	0.0001028834	0.0172252563	0.1568003525	0.0001334163	0.0001740488	0.6046081928	0.0002608261	Solar Monitoring
4.74372314678e-05	0.0001007661	7.92252646236e-05	0.0001360239	8.77975200574e-05	0.0001087929	0.0308057374	7.85783243348e-05	5.0423949977e-05	0.0001800811	0.8936212403	6.53883416851e-05	0.0520187956	6.6052658889e-05	0.0225536593	Solar Monitoring
